Algorithme,Min_Length,Max_Length,Alphabet,Execution_Time_ms
hachage,5,15,2,288,
matrice,5,15,2,11,
hachage,15,30,2,298,
matrice,15,30,2,12,
hachage,30,60,2,274,
matrice,30,60,2,12,
